dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,src_10.0.0.1,src_10.0.0.10,src_10.0.0.2,src_10.0.0.3,src_10.0.0.4,src_10.0.0.5,src_10.0.0.6,src_10.0.0.7,src_10.0.0.8,src_10.0.0.9,dst_10.0.0.1,dst_10.0.0.10,dst_10.0.0.2,dst_10.0.0.3,dst_10.0.0.4,dst_10.0.0.5,dst_10.0.0.6,dst_10.0.0.7,dst_10.0.0.8,dst_10.0.0.9,Protocol_ICMP,Protocol_TCP,Protocol_UDP,label
3459,2,134848,143747968,306,436000000,306000000000.0,2,7916,10322,11003252,344,0,1,4378,1382,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
28668,2,420,41160,430,972000000,431000000000.0,5,2800,29,2842,0,1,1,106237,135562014,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
30561,2,59471,61968782,213,2000000,213000000000.0,6,4920,8808,9177936,293,1,1,36516,62121794,0,2441.0,2441.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
9816,2,37425,39895050,83,107000000,83107000000.0,2,1109,13541,14434706,451,0,4,3446,75055080,0,6456.0,6456.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2649,1,131437,140111842,317,26000000,317000000000.0,4,2385,2369,2525354,78,0,3,168355535,3833,2759,0.0,2759.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
42005,2,13518,892272,41,218000000,41218000000.0,3,8090,9787,646026,326,1,4,41731695,168947092,3923,171.0,4094.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
33003,1,535,52430,548,547000000,549000000000.0,5,2364,29,2842,0,1,1,68578,135525040,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3219,1,30229,32224114,67,129000000,67129000000.0,2,7894,13421,14306786,447,0,3,276816532,32456962,0,3838.0,3838.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
31303,1,5374,354768,20,459000000,20459000000.0,3,4008,0,0,0,1,1,10130030,361518,2699,96.0,2795.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
7537,2,21698,25484876,52,223000000,52223000000.0,5,12130,12670,14806476,422,1,4,153485648,32668166,143,4223.0,4366.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
28188,2,655,64190,671,114000000,671000000000.0,5,2790,30,2940,1,1,4,135787733,271246153,1,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
30732,1,975,95550,999,983000000,1000000000000.0,5,2063,29,2842,0,1,2,135551067,100572,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2668,1,57264,61043424,127,331000000,127000000000.0,4,2385,13466,14354756,448,0,4,3572,110858482,0,6430.0,6430.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
29472,2,556,54488,570,186000000,570000000000.0,5,1057,29,2842,0,1,1,60772,128364038,0,2247.0,2247.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6822,1,851,83398,871,682000000,872000000000.0,3,3443,29,2842,0,0,3,271011259,91763,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3189,1,16808,17917328,37,126000000,37126000000.0,2,7503,13538,14431508,451,0,3,4934,384948528,0,7676.0,7676.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
30732,2,272,26656,279,750000000,280000000000.0,7,2063,29,2842,0,1,4,135880651,271327399,2,2.0,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
31455,2,966,94668,1002,931000000,1000000000000.0,3,2063,30,2940,1,1,3,271214160,307328,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
30492,2,741,72618,759,960000000,760000000000.0,7,2059,29,2842,0,1,4,135810049,271256755,2,2.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
32553,2,95,9310,98,511000000,98511000000.0,9,2332,29,2842,0,1,3,33320,33194,1,1.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25110,2,657,64386,673,256000000,673000000000.0,3,3009,30,2940,1,1,2,133740430,2060,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10116,1,127413,135822258,283,264000000,283000000000.0,2,1931,13528,14420848,450,0,4,3539,3413,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32433,2,76,7448,78,484000000,78484000000.0,5,16,29,2842,0,1,2,3925,1102,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10749,1,130356,144301680,294,534000000,295000000000.0,5,4357,13462,14746284,448,1,1,6173005,144355694,173,3923.0,4096.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11815,2,123290,128468180,440,760000000,441000000000.0,2,1943,7398,7708716,246,0,2,4022,1472,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
5952,2,1,98,1,526000000,1526000000.0,3,1278,0,0,0,0,1,135367060,1934,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11395,2,76741,81805906,170,396000000,170000000000.0,4,1943,13463,14351558,448,0,1,3775,1492,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2548,2,3245,3459170,7,158000000,7158000000.0,4,1814,0,0,0,0,4,3269,27605081,0,3839.0,3839.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
32703,2,291,28518,298,476000000,298000000000.0,11,2364,29,2842,0,1,2,52925903,1452,2826,0.0,2826.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10116,2,127378,135784948,282,912000000,283000000000.0,3,1931,13528,14420848,450,0,3,136023301,3917,3838,0.0,3838.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
9936,1,46440,49505040,103,248000000,103000000000.0,2,1931,13526,14418716,450,0,3,3889,164814263,0,10298.0,10298.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
32703,2,339,33222,348,475000000,348000000000.0,11,2364,28,2744,0,1,1,123063421,122245522,5644,5644.0,11288.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
11395,2,31745,33840170,70,551000000,70551000000.0,4,1943,13463,14351558,448,0,1,3775,1242,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
27678,2,967,94766,991,404000000,991000000000.0,7,2790,29,2842,0,1,4,135672135,271130555,3,3.0,6.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6132,1,177,17346,181,587000000,182000000000.0,4,3421,29,2842,0,0,2,23216,10003990,0,2532.0,2532.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
30222,2,478,46844,489,934000000,490000000000.0,5,2053,29,2842,0,1,1,105719,135561902,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
33363,2,887,86926,908,590000000,909000000000.0,11,3024,30,2940,1,1,4,164484730,181283854,2689,2672.0,5361.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
42215,2,79509,5248118,251,266000000,251000000000.0,4,13231,9739,642774,324,1,4,147037882,173313879,4056,174.0,4230.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
33003,2,584,57232,598,492000000,598000000000.0,7,2364,29,2842,0,1,3,122486,135582318,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
33423,2,997,97706,1018,542000000,1020000000000.0,9,3024,30,2940,1,1,1,337360741,270404472,2745,1.0,2746.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11395,1,31769,33865754,70,715000000,70715000000.0,3,1943,13463,14351558,448,0,4,122776463,3875,9473,0.0,9473.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
32643,2,184,18032,188,519000000,189000000000.0,11,2364,30,2940,1,1,2,31631465,1326,2846,0.0,2846.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
30012,1,273,26754,279,922000000,280000000000.0,5,2053,30,2940,1,1,3,150101,271056779,2,2.0,4.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
10026,2,44980,46869160,143,392000000,143000000000.0,4,1931,9439,9835438,314,0,2,4095,223510336,0,2620.0,2620.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
2578,2,61577,65641082,136,398000000,136000000000.0,4,1814,13529,14421914,450,0,1,3534,1172,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11395,2,76741,81805906,170,396000000,170000000000.0,4,1943,13463,14351558,448,0,1,3570,1492,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6432,1,470,46060,481,513000000,482000000000.0,4,3421,29,2842,0,0,1,6151,135462138,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2518,2,34398,36668268,76,396000000,76396000000.0,3,1699,13212,14083992,440,0,4,3185,13206577,0,3520.0,3520.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
31903,1,128231,7437398,465,483000000,465000000000.0,5,18351,7304,423632,243,1,3,179512569,469682715,229,426.0,655.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30561,2,996,97608,1033,282000000,1030000000000.0,6,4920,20,1960,0,1,4,197687141,133872187,2442,1.0,2443.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
