dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,src_10.0.0.1,src_10.0.0.10,src_10.0.0.2,src_10.0.0.3,src_10.0.0.4,src_10.0.0.5,src_10.0.0.6,src_10.0.0.7,src_10.0.0.8,src_10.0.0.9,dst_10.0.0.1,dst_10.0.0.10,dst_10.0.0.2,dst_10.0.0.3,dst_10.0.0.4,dst_10.0.0.5,dst_10.0.0.6,dst_10.0.0.7,dst_10.0.0.8,dst_10.0.0.9,Protocol_ICMP,Protocol_TCP,Protocol_UDP,label
2829,2,43025,45864650,95,89000000,95089000000.0,4,4440,13601,14498666,453,0,1,4033,1242,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2608,2,75019,79970254,166,401000000,166000000000.0,5,2375,13442,14329172,448,0,3,3488,62265606,0,5404.0,5404.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
33093,2,672,65856,688,503000000,689000000000.0,7,2376,30,2940,1,1,3,140280,135600070,1,1.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
28128,1,1498,146804,1341,405000000,1340000000000.0,5,2790,29,2842,0,1,3,215453,271133915,1,1.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
24810,2,361,35378,373,153000000,373000000000.0,5,2997,30,2940,1,1,3,41811,78411379,0,2405.0,2405.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6882,1,910,89180,931,690000000,932000000000.0,3,3443,29,2842,0,0,2,97087,135553130,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11905,2,4661,4968626,10,655000000,10655000000.0,2,2175,0,0,0,0,1,4014,1312,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
33453,2,999,97902,1048,544000000,1050000000000.0,9,3024,2,196,0,1,4,195058759,211807937,2692,2687.0,5379.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2859,1,91595,95441990,327,484000000,327000000000.0,3,4440,7973,8307866,265,0,4,4449,253465925,0,2188.0,2188.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
30462,1,712,69776,729,961000000,730000000000.0,5,2059,29,2842,0,1,1,135627599,163600,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
14315,1,473,583154,1,302000000,1302000000.0,3,22,0,0,0,1,2,29686,675400,7,179.0,186.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11605,1,126395,134737070,280,734000000,281000000000.0,2,1943,13531,14424046,451,0,3,3842,3590,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
24900,2,451,44198,463,221000000,463000000000.0,5,2997,29,2842,0,1,3,51086,105547040,0,2403.0,2403.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10146,2,134948,143854568,312,914000000,313000000000.0,3,1931,7570,8069620,252,0,3,4463,373549391,0,4670.0,4670.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
4217,2,94136,103390152,211,152000000,211000000000.0,4,1143,13505,14741954,450,1,1,4765,1852564,0,134.0,134.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14645,2,52838,3064604,166,502000000,167000000000.0,3,7385,9093,527394,303,1,3,148631837,9418970,130,140.0,270.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11485,2,34232,35669744,110,689000000,111000000000.0,4,1943,9256,9644752,308,0,1,3570,1492,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
32493,2,86,8428,88,460000000,88460000000.0,7,20,30,2940,1,1,1,30190,27338,2,2.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30582,1,1731,169638,1580,213000000,1580000000000.0,5,2063,30,2940,1,1,2,135536325,85830,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
3369,1,97838,104295308,217,144000000,217000000000.0,2,7916,13529,14421914,450,0,1,4462,38248048,0,2574.0,2574.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9816,2,37425,39895050,83,107000000,83107000000.0,2,1109,13541,14434706,451,0,3,3022,3320,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
33363,2,937,91826,958,544000000,959000000000.0,11,3024,30,2940,1,1,4,164484730,181283854,2689,2672.0,5361.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9846,2,51041,54409706,113,110000000,113000000000.0,3,1910,13616,14514656,453,0,1,3492,1332,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2668,1,102161,108903626,227,23000000,227000000000.0,4,2385,13466,14354756,448,0,3,3404,3236,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
27077,2,74045,76886794,291,150000000,291000000000.0,6,948,9160,9516400,305,1,1,43181,77021828,0,2531.0,2531.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
9936,2,16691,17392022,53,380000000,53380000000.0,4,1931,9435,9831270,314,0,1,3546,1402,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
27588,2,68,6664,71,61000000,71061000000.0,7,2790,29,2842,0,1,3,271009616,91084,1,1.0,2.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
14555,1,20237,1092798,64,629000000,64629000000.0,5,7385,9107,491778,303,1,1,1544635,1270662,140,131.0,271.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41193,2,26423,1532534,92,752000000,92752000000.0,11,8050,8505,493290,283,1,1,365110983,19222448,12255,767.0,13022.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
11515,2,85652,91305032,190,562000000,191000000000.0,4,1943,13306,14184196,443,0,3,3413,3665,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
4247,2,78770,5198952,241,109000000,241000000000.0,4,1143,9988,659208,332,1,1,4877,2355724,0,134.0,134.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6672,2,655,64190,671,573000000,672000000000.0,5,3443,29,2842,0,0,3,77203,270996699,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2668,2,79432,84674512,173,22000000,173000000000.0,6,2385,13468,14356888,448,0,3,3404,3236,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
29292,1,71374,74105500,290,45000000,290000000000.0,4,1057,8959,9307902,298,1,1,74233075,29956,2472,0.0,2472.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
