dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,src_10.0.0.1,src_10.0.0.10,src_10.0.0.2,src_10.0.0.3,src_10.0.0.4,src_10.0.0.5,src_10.0.0.6,src_10.0.0.7,src_10.0.0.8,src_10.0.0.9,dst_10.0.0.1,dst_10.0.0.10,dst_10.0.0.2,dst_10.0.0.3,dst_10.0.0.4,dst_10.0.0.5,dst_10.0.0.6,dst_10.0.0.7,dst_10.0.0.8,dst_10.0.0.9,Protocol_ICMP,Protocol_TCP,Protocol_UDP,label
24810,2,361,35378,373,153000000,373000000000.0,5,2997,30,2940,1,1,4,78411799,76686331,2405,2405.0,4810.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
11379,2,48866,3225312,154,351000000,154000000000.0,4,6696,9974,658284,332,1,1,469239028,36104630,0,135.0,135.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
30973,1,98329,6490034,310,614000000,311000000000.0,3,3982,5911,390138,197,1,1,5213,1242,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
30252,2,507,49686,519,936000000,520000000000.0,5,2053,29,2842,0,1,1,105719,135561902,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
26987,2,46463,48229422,201,139000000,201000000000.0,6,948,9130,9486084,304,1,1,34263,48441270,0,2567.0,2567.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
32763,2,398,39004,408,500000000,409000000000.0,11,2364,29,2842,0,1,2,73964009,1578,2815,0.0,2815.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
11425,2,15734,16394828,50,682000000,50682000000.0,4,1943,9360,9753120,312,0,2,3845,1402,0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
9876,2,19494,20780604,42,894000000,42894000000.0,3,1910,13527,14419782,450,0,3,3236,3362,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6948,2,23737,1567050,84,259000000,84259000000.0,3,35,8712,574992,290,1,1,3273,1102,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
30831,2,571,55958,583,129000000,583000000000.0,4,4920,30,2940,1,1,2,133740829,2130,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
33093,2,623,61054,638,549000000,639000000000.0,7,2376,30,2940,1,1,2,135465542,1942,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9906,2,32879,35049014,72,895000000,72895000000.0,4,1931,13385,14268410,446,0,1,3492,1332,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
31431,2,501,49098,512,972000000,513000000000.0,3,4942,30,2940,1,1,3,106799,135566141,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2608,2,30216,32210256,67,161000000,67161000000.0,5,2375,13442,14329172,448,0,1,3514,1422,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
10749,2,93424,6166356,294,522000000,295000000000.0,11,4357,9906,653796,330,1,2,10414191,239750769,348,7846.0,8194.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10056,2,134977,143885482,323,127000000,323000000000.0,4,1931,2900,3091400,96,0,2,3649,1242,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
11485,1,117399,125147334,260,750000000,261000000000.0,3,1943,13533,14426178,451,0,3,3413,3665,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11365,1,18306,19514196,40,713000000,40713000000.0,3,1790,13529,14421914,450,0,3,139618793,3875,3838,0.0,3838.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2799,2,89100,92842200,315,910000000,316000000000.0,5,4440,9301,9691642,310,0,1,3413,3833,0,,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
32883,2,127072,132409024,375,341000000,375000000000.0,11,2364,10201,10629442,340,1,3,98924,116568236,1,2845.0,2846.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
