dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,src_10.0.0.1,src_10.0.0.10,src_10.0.0.2,src_10.0.0.3,src_10.0.0.4,src_10.0.0.5,src_10.0.0.6,src_10.0.0.7,src_10.0.0.8,src_10.0.0.9,dst_10.0.0.1,dst_10.0.0.10,dst_10.0.0.2,dst_10.0.0.3,dst_10.0.0.4,dst_10.0.0.5,dst_10.0.0.6,dst_10.0.0.7,dst_10.0.0.8,dst_10.0.0.9,Protocol_ICMP,Protocol_TCP,Protocol_UDP,label
6672,2,704,68992,721,549000000,722000000000.0,5,3443,28,2744,0,0,4,406523759,135505783,1,1.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2829,2,98268,102395256,345,913000000,346000000000.0,4,4440,9168,9553056,305,0,1,4489,245259648,0,2529.0,2529.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
26687,2,1,98,1,191000000,1191000000.0,3,16,0,0,0,1,1,3848,1270,0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15695,2,8564,496712,30,475000000,30475000000.0,3,16540,6163,357454,205,1,1,5703,1632,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
29022,2,19,1862,20,50000000,20050000000.0,6,1057,0,0,0,1,2,4099,1172,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25200,2,745,73010,763,265000000,763000000000.0,5,3021,30,2940,1,1,4,135545400,133820016,1,1.0,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
6852,2,831,81438,851,663000000,852000000000.0,5,3443,29,2842,0,0,1,135451389,85850,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
3249,1,43760,46648160,97,132000000,97132000000.0,2,7894,13531,14424046,451,0,2,7806,1514,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
41043,2,62416,69936032,143,254000000,143000000000.0,7,35,13272,14502320,442,1,3,3822428,91379890,353,7849.0,8202.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
11605,2,71254,74246668,230,700000000,231000000000.0,3,1943,9243,9631206,308,0,4,352967212,4766,6400,0.0,6400.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
