dt,switch,pktcount,bytecount,dur,dur_nsec,tot_dur,flows,packetins,pktperflow,byteperflow,pktrate,Pairflow,port_no,tx_bytes,rx_bytes,tx_kbps,rx_kbps,tot_kbps,src_10.0.0.1,src_10.0.0.10,src_10.0.0.2,src_10.0.0.3,src_10.0.0.4,src_10.0.0.5,src_10.0.0.6,src_10.0.0.7,src_10.0.0.8,src_10.0.0.9,dst_10.0.0.1,dst_10.0.0.10,dst_10.0.0.2,dst_10.0.0.3,dst_10.0.0.4,dst_10.0.0.5,dst_10.0.0.6,dst_10.0.0.7,dst_10.0.0.8,dst_10.0.0.9,Protocol_ICMP,Protocol_TCP,Protocol_UDP,label
2518,1,34545,36824970,77,10000000,77010000000.0,2,1699,13212,14083992,440,0,4,3185,13206577,0,3520.0,3520.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
30642,1,131789,135635322,1640,178000000,1640000000000.0,5,2063,29,2842,0,1,3,274981,271181813,1,1.0,2.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
2548,2,3245,3459170,7,158000000,7158000000.0,4,1814,0,0,0,0,1,3427,1102,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
10116,2,127378,135784948,282,912000000,283000000000.0,3,1931,13528,14420848,450,0,2,4263,252729226,0,2589.0,2589.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
24600,1,155,15190,163,117000000,163000000000.0,4,2997,29,2842,0,1,2,20991,17760,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
4277,1,88757,5858130,271,54000000,271000000000.0,3,1143,9987,659178,332,1,2,4639,1242,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2578,1,61724,65797784,137,13000000,137000000000.0,3,1814,13529,14421914,450,0,4,3488,42000564,0,3838.0,3838.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
24581,2,109761,124617354,256,245000000,256000000000.0,11,10817,13342,14743060,444,1,4,10522399,202573715,618,8236.0,8854.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
32763,2,398,39004,408,500000000,409000000000.0,11,2364,29,2842,0,1,4,90268009,91082727,2809,2809.0,5618.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
32853,2,389,38122,398,525000000,399000000000.0,11,2364,30,2940,1,1,4,121989281,122803999,2838,2838.0,5676.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
27077,2,381,37338,391,271000000,391000000000.0,6,948,29,2842,0,1,3,181994969,33551,5064,0.0,5064.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
27588,2,879,86142,901,448000000,901000000000.0,7,2790,29,2842,0,1,4,135639690,271098110,2,2.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
11455,2,103808,110659328,230,401000000,230000000000.0,4,1943,13533,14426178,451,0,2,3845,1402,0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
30831,2,571,55958,583,43000000,583000000000.0,4,4920,30,2940,1,1,1,63074,135518698,0,1123.0,1123.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
